SMILES,Set,Actual,Predicted,ALogPS_logS,Mi:(Dragon7),nBM:(Dragon7),PCR:(Dragon7),VE2_Dz(Z):(Dragon7),VR2_Dz(Z):(Dragon7),SpDiam_B(m):(Dragon7),EE_B(m):(Dragon7),AVS_B(v):(Dragon7),SpPosA_B(v):(Dragon7),SpMax_B(v):(Dragon7),SpPosA_B(p):(Dragon7),SpMax_B(p):(Dragon7),EE_B(s):(Dragon7),GATS1i:(Dragon7),SpMax1_Bh(v):(Dragon7),SpMax4_Bh(s):(Dragon7),SpMin1_Bh(e):(Dragon7),SpMax_EA(bo):(Dragon7),TDB01v:(Dragon7),TDB03v:(Dragon7),Uc:(Dragon7),MLOGP:(Dragon7),ALOGP:(Dragon7),ALOGP2:(Dragon7),Residual,Standardized_Residual,Prediction_Quality
C[C@H](CCO)CCC=C(C)C,Training,38.8,45.1232065845692,-2.27,1.141,1,1.073,0.277,0.877,4.561,4.347,2.948,1.221,3.283,1.206,3.283,6.496,1.476,3.716,3.658,1.833,2.906,0.678,0.952,1.0,2.749,3.049,9.297,-6.323206584569206,-0.37149837154779264,Good
CC\C=C/CCO,Training,19.0,15.40704710358863,-0.79,1.142,1,1.103,0.338,0.816,4.192,3.88,2.853,1.194,3.092,1.169,3.089,6.416,1.462,3.612,3.27,1.741,2.264,0.656,0.748,1.0,1.442,1.439,2.069,3.5929528964113704,0.21109165614200567,Good
CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1,Training,94.3,89.86642803110169,-4.55,1.122,13,1.371,0.203,1.026,5.747,5.487,3.409,1.295,3.739,1.288,3.733,7.928,1.203,3.9,4.749,1.946,4.003,0.945,1.789,3.807,3.375,4.719,22.27,4.433571968898306,0.2604793540361412,Good
ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1,Training,28.0,25.359612051791746,-7.53,1.096,12,1.352,0.208,1.03,5.725,5.554,3.49,1.34,3.757,1.367,3.763,6.514,0.915,3.953,4.345,1.978,3.931,1.105,1.944,3.7,5.934,5.746,33.01,2.6403879482082537,0.15512696128061287,Good
CC1(C)N(CO)C(=O)NC1=O,Training,3.9,9.009179062002703,-0.1,1.156,2,1.064,0.256,0.97,5.143,4.594,3.128,1.21,3.581,1.151,3.529,8.294,1.983,3.722,4.26,1.691,3.783,0.741,1.427,1.585,-0.745,-0.716,0.512,-5.109179062002703,-0.3001723375782123,Good
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(O)=O,Training,101.7,91.33755752517808,-5.17,1.112,18,1.433,0.179,1.061,5.863,5.606,3.532,1.306,4.004,1.281,3.985,8.414,1.165,4.094,4.956,1.951,4.762,0.929,1.9,4.248,3.318,4.21,17.73,10.362442474821918,0.6088098582843142,Good
CCO[Si](CCCNC(N)=O)(OCC)OCC,Training,-29.5,-14.240995357959427,-1.99,1.149,1,1.02,0.223,0.918,5.13,5.033,2.96,1.202,3.603,1.208,4.267,7.654,1.98,3.816,4.302,1.737,3.331,0.805,1.281,1.0,-0.523,1.557,2.424,-15.259004642040573,-0.896490617559743,Good
CC(O)CN,Training,5.5,5.400845458929681,1.0,1.169,0,1.0,0.422,0.753,3.949,3.524,2.617,1.103,2.919,1.058,2.885,6.461,1.734,3.447,2.864,1.611,2.17,0.581,0.602,0.0,-0.534,-0.809,0.655,0.09915454107031874,0.0058254858585648625,Good
CC1(C)N(Br)C(=O)N(Cl)C1=O,Training,33.5,30.406413313869315,-1.71,1.144,2,1.063,0.251,0.971,8.248,6.991,3.206,1.244,3.636,1.249,3.603,8.185,1.901,3.716,4.23,1.668,3.859,0.927,1.981,1.585,0.158,0.923,0.852,3.093586686130685,0.18175310276024767,Good
FC(F)(F)C1=CC=C(Cl)C=C1,Training,8.9,26.764206300192384,-2.7,1.175,6,1.254,0.274,0.966,5.524,4.866,3.238,1.228,3.672,1.166,3.666,9.321,0.804,3.856,4.929,1.89,3.826,1.043,1.775,2.807,3.948,3.437,11.81,-17.864206300192386,-1.0495503287383783,Good
[O-][N+](=O)C1=CC=C(Cl)C=C1,Training,28.0,54.20349320008264,-2.81,1.121,8,1.327,0.277,0.964,5.583,4.866,3.43,1.306,3.683,1.273,3.664,8.246,0.834,3.861,4.262,1.9,3.947,0.998,1.698,3.17,2.509,2.389,5.706,-26.20349320008264,-1.5394966023172505,Good
CCCCCCCCCCN,Training,10.1,26.177227489112052,-4.2,1.149,0,1.0,0.27,0.876,3.891,4.214,2.841,1.186,2.946,1.179,2.944,5.227,1.563,3.669,3.775,1.814,1.919,0.651,0.73,0.0,3.806,3.418,11.69,-16.077227489112055,-0.9445625018458016,Good
CCCCCCCCCCO,Training,69.5,54.671758421401755,-3.51,1.145,0,1.0,0.27,0.876,3.894,4.228,2.837,1.184,2.945,1.17,2.943,6.441,1.578,3.667,3.792,1.812,1.919,0.661,0.743,0.0,3.806,3.708,13.75,14.828241578598245,0.8711826073830258,Good
CCCCCCCCCCCCS,Training,5.1,14.224761981595002,-5.46,1.136,0,1.0,0.249,0.894,4.298,4.575,2.901,1.217,2.968,1.248,2.983,5.112,1.451,3.686,3.862,1.825,1.942,0.706,0.786,0.0,5.396,5.592,31.27,-9.124761981595002,-0.536094174939043,Good
CCCCCCCCCCCCO,Training,71.3,60.499236165787714,-4.86,1.144,0,1.0,0.249,0.894,3.923,4.394,2.865,1.189,2.963,1.175,2.961,6.473,1.565,3.685,3.915,1.825,1.942,0.669,0.758,0.0,4.379,4.62,21.35,10.800763834212283,0.6345619302829597,Good
CCCCCCCCCCCCN1CCCC1=O,Training,29.7,27.802020652114308,-5.3,1.142,1,1.023,0.215,0.975,4.67,4.832,3.054,1.223,3.327,1.209,3.278,7.531,1.658,3.735,4.089,1.828,3.13,0.709,0.853,1.0,4.408,4.813,23.17,1.8979793478856912,0.1115092837060792,Good
CCOCC(C)O,Training,3.0,5.994738858017496,0.41,1.153,0,1.0,0.341,0.818,4.04,3.868,2.723,1.157,2.951,1.107,2.904,6.471,1.902,3.469,3.642,1.616,2.228,0.613,0.73,0.0,0.329,0.237,0.056,-2.994738858017496,-0.1759456367722315,Good
CCCCCCCCCCCCCCCCO,Training,-22.4,5.654286773526883,-6.13,1.143,0,1.0,0.218,0.917,3.958,4.661,2.903,1.196,2.984,1.187,2.983,6.535,1.548,3.708,4.049,1.839,1.966,0.678,0.775,0.0,5.42,6.445,41.54,-28.054286773526883,-1.6482336472658616,Good
CCCCCCO,Training,10.5,13.431618752754158,-1.09,1.148,0,1.0,0.338,0.816,3.765,3.779,2.735,1.163,2.87,1.136,2.863,6.374,1.633,3.593,3.227,1.754,1.802,0.633,0.681,0.0,1.587,1.883,3.546,-2.931618752754158,-0.172237230917759,Good
COCC(C)O,Training,7.9,4.794990746564764,0.69,1.156,0,1.0,0.383,0.789,4.012,3.731,2.675,1.154,2.937,1.104,2.891,6.461,2.003,3.446,3.237,1.597,2.214,0.594,0.779,0.0,-0.081,-0.111,0.012,3.1050092534352363,0.18242419662627626,Good
CCC(C)(C)C1CCC(CC1)OC,Training,34.2,18.802990198062957,-5.01,1.14,0,1.0,0.248,0.971,4.796,4.511,3.05,1.199,3.397,1.189,3.395,5.364,1.561,3.838,3.787,1.939,3.368,0.706,1.103,0.0,3.075,3.531,12.47,15.397009801937045,0.9045986386216905,Good
CN1C=C(C(=O)C(=C1)C1=CC(=CC=C1)C(F)(F)F)C1=CC=CC=C1,Training,23.8,39.795813311778836,-5.04,1.133,15,1.414,0.183,1.063,5.68,5.452,3.491,1.279,3.825,1.237,3.813,9.476,0.867,3.97,7.427,1.99,4.086,0.942,1.798,4.0,3.983,3.645,13.28,-15.995813311778836,-0.9397792903698389,Good
CC1=C2C=CC=CC2=CC=C1,Training,24.8,38.809672298774245,-3.94,1.099,11,1.451,0.262,1.058,5.738,4.671,3.657,1.349,3.873,1.349,3.873,5.553,0.868,4.044,3.555,2.08,4.421,0.901,1.612,3.585,3.677,3.225,10.4,-14.009672298774245,-0.8230903696257197,Good
CCCCCCCCCCCC(=O)OCC(O)CO,Training,52.4,53.42362623829482,-3.49,1.144,1,1.017,0.209,0.925,4.552,4.894,2.937,1.18,3.188,1.144,3.128,7.988,1.586,3.691,4.394,1.824,2.839,0.697,0.847,1.0,3.313,3.744,14.02,-1.023626238294824,-0.06013965786411637,Good
OC(=O)CC1=C2C=CC=CC2=CC=C1,Training,63.0,70.21264815216692,-3.23,1.104,12,1.436,0.232,1.043,5.745,4.919,3.554,1.319,3.876,1.29,3.875,7.825,0.844,4.049,4.331,2.082,4.432,0.925,1.62,3.7,2.79,2.378,5.653,-7.212648152166921,-0.4237544681231947,Good
OC1=CC=CC2=CC=CC=C12,Training,90.3,81.85723136179173,-2.18,1.098,11,1.451,0.262,1.057,5.74,4.689,3.631,1.327,3.868,1.311,3.864,6.659,0.76,4.028,3.736,2.061,4.421,0.931,1.608,3.585,2.637,2.471,6.106,8.442768638208264,0.4960259891086304,Good
CCCCCCCCO,Training,35.1,26.676016641493337,-2.39,1.146,0,1.0,0.298,0.852,3.847,4.028,2.797,1.179,2.918,1.161,2.914,6.408,1.599,3.639,3.587,1.791,1.879,0.65,0.721,0.0,3.186,2.795,7.815,8.423983358506664,0.49492232426313176,Good
CCCCCC(O)C=C,Training,14.7,25.747957152337833,-1.98,1.141,1,1.042,0.306,0.852,4.318,4.132,2.911,1.207,3.138,1.185,3.123,6.492,1.471,3.645,3.769,1.781,2.474,0.67,0.815,1.0,2.129,2.529,6.394,-11.047957152337833,-0.6490849280552037,Good
CCCCCCCCN1CCCC1=O,Training,19.5,19.78291232541885,-2.77,1.143,1,1.029,0.246,0.969,4.67,4.611,3.061,1.223,3.327,1.206,3.278,7.509,1.705,3.725,3.963,1.799,3.13,0.709,0.864,1.0,3.367,2.989,8.932,-0.2829123254188488,-0.016621545853077957,Good
CC(O)COC1=CC=CC=C1,Training,9.9,14.753092798157557,-1.04,1.127,6,1.25,0.275,0.965,5.111,4.522,3.238,1.252,3.541,1.219,3.531,6.641,1.224,3.812,3.786,1.874,3.445,0.777,1.067,2.807,1.629,1.652,2.728,-4.853092798157556,-0.28512686520247277,Good
O=C1C=CC(=O)N1C1=CC=CC=C1,Training,55.0,40.18944906115465,-1.83,1.108,9,1.313,0.26,1.043,5.388,4.855,3.531,1.306,3.681,1.278,3.652,8.185,1.212,3.866,4.219,1.888,3.77,0.938,1.618,3.322,1.794,1.388,1.928,14.810550938845353,0.8701432543630128,Good
NC(=O)NC1=CC=CC=C1,Training,11.8,10.451119389251492,-1.24,1.136,7,1.293,0.292,0.962,5.155,4.518,3.323,1.27,3.555,1.231,3.546,7.577,1.126,3.822,3.869,1.886,3.472,0.812,1.262,3.0,0.864,0.74,0.548,1.348880610748509,0.07924886584100162,Good
CCCOCC(C)O,Training,6.4,6.984794487347917,-0.02,1.151,0,1.0,0.318,0.837,4.056,3.99,2.759,1.155,2.961,1.118,2.915,6.486,1.835,3.501,3.762,1.651,2.233,0.626,0.732,0.0,0.706,0.761,0.579,-0.5847944873479163,-0.034357599555586586,Good
CCCCCCCCCCCCC=C,Training,9.6,16.80589254450835,-6.26,1.138,1,1.025,0.241,0.901,4.036,4.499,2.956,1.228,3.023,1.228,3.023,5.284,1.5,3.698,3.926,1.832,1.985,0.681,0.784,1.0,5.786,6.368,40.55,-7.20589254450835,-0.42335756550576337,Good
CCCCCCCCCCCCCO,Training,46.3,46.001974678083194,-5.26,1.143,0,1.0,0.241,0.901,3.934,4.468,2.876,1.191,2.969,1.18,2.968,6.489,1.56,3.692,3.959,1.829,1.95,0.671,0.768,0.0,4.651,5.077,25.77,0.2980253219168034,0.01750945826161745,Good
CC(C1=CC=C(C)C(C)=C1)C1=CC=C(C)C(C)=C1,Training,41.1,35.225743792636976,-6.16,1.114,12,1.361,0.215,1.03,5.555,5.075,3.481,1.322,3.784,1.322,3.784,5.898,1.057,3.98,3.874,2.017,3.973,0.826,1.611,3.7,5.398,6.001,36.01,5.874256207363025,0.34512182796864177,Good
C[SiH](O[Si](C)(C)C)O[Si](C)(C)C,Training,10.6,8.275731688066413,-2.77,1.122,0,1.0,0.255,0.889,4.859,5.113,3.133,1.341,3.787,1.526,4.53,5.474,1.73,3.995,3.488,1.804,3.182,1.238,1.614,0.0,1.06,4.861,23.63,2.3242683119335865,0.1365544334785151,Good
CC(O)CN(CCN(CC(C)O)CC(C)O)CC(C)O,Training,3.3,8.686798043878277,-0.57,1.155,0,1.0,0.215,0.929,4.508,4.959,2.916,1.186,3.186,1.142,3.146,7.741,1.995,3.667,6.447,1.778,2.691,0.658,0.938,0.0,-0.082,-0.189,0.036,-5.386798043878277,-0.3164828911396311,Good
C1=CC2=C(N=C1)C1=C(C=CC=N1)C=C2,Training,46.1,43.08366425770449,-3.13,1.102,16,1.566,0.242,1.111,5.974,4.988,3.776,1.35,3.967,1.341,3.955,6.032,1.047,4.083,3.865,2.108,4.713,0.968,1.78,4.087,1.898,2.203,4.851,3.01633574229551,0.1772144878262786,Good
O=CC1=CC=CC=C1C=O,Training,98.0,68.36777004198792,-1.88,1.104,8,1.346,0.28,0.968,5.371,4.569,3.425,1.299,3.676,1.276,3.669,8.175,0.937,3.874,3.64,1.919,3.856,0.931,1.667,3.17,1.404,1.349,1.819,29.632229958012076,1.7409403010167803,Good
CC(C)CCCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCCC(C)C,Training,-5.7,10.559631214941467,-7.48,1.133,8,1.2,0.147,0.986,5.516,5.505,3.167,1.239,3.735,1.218,3.719,8.262,1.431,3.888,4.425,1.917,4.037,0.748,1.022,3.17,6.238,9.264,85.82,-16.259631214941468,-0.9552790087641808,Good
CCCCCCCCCCCCOC(=O)C1=CC=CC=C1C(=O)OC[C@H](CCC)[C@@H](CC)CCC,Training,6.1,7.291813051790518,-7.63,1.134,8,1.194,0.149,0.987,5.518,5.576,3.158,1.233,3.736,1.215,3.72,8.27,1.437,3.893,4.441,1.92,4.038,0.745,1.042,3.17,7.728,10.7,114.5,-1.1918130517905183,-0.07002089873357303,Good
OC1=C(O)C=CC=C1,Training,34.4,41.90194320796076,-0.17,1.119,6,1.3,0.323,0.958,5.283,4.303,3.321,1.267,3.621,1.219,3.605,7.102,0.814,3.806,3.554,1.858,3.743,0.851,1.292,2.807,0.893,1.295,1.678,-7.501943207960764,-0.4407510094644994,Good
BrCCBr,Training,13.4,21.587136467031726,-1.79,1.116,0,1.0,0.496,0.667,7.078,7.563,2.746,1.302,2.802,1.5,2.976,4.289,1.277,3.367,1.875,1.463,1.414,1.099,1.257,0.0,2.226,1.801,3.243,-8.187136467031726,-0.48100719539420983,Good
FC(F)(F)C1=CC=C(Cl)C(Cl)=C1,Training,8.3,24.042358036174765,-3.69,1.171,6,1.248,0.262,0.968,5.724,5.1,3.244,1.243,3.739,1.197,3.741,9.33,0.79,3.87,5.032,1.885,3.975,1.153,2.172,2.807,4.513,4.101,16.82,-15.742358036174764,-0.9248883927077433,Good
ClC1=C(Cl)C=CC=C1,Training,20.8,15.780269544062286,-3.05,1.094,6,1.3,0.319,0.957,5.583,4.798,3.415,1.342,3.648,1.374,3.661,5.797,0.899,3.831,3.471,1.864,3.743,1.115,1.869,2.807,3.478,3.159,9.978,5.019730455937715,0.2949170907274364,Good
CC1=CC=CC(=C1C)[N+]([O-])=O,Training,56.0,51.632351398750544,-2.81,1.129,8,1.318,0.263,0.968,5.642,4.727,3.403,1.302,3.763,1.26,3.743,8.228,1.013,3.908,3.925,1.955,4.18,0.829,1.637,3.17,2.574,2.697,7.273,4.367648601249456,0.2566062520900085,Good
[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O,Training,60.9,52.171074346272405,-3.16,1.141,10,1.362,0.261,0.97,5.705,4.931,3.441,1.279,3.757,1.204,3.714,8.895,0.86,3.891,6.999,1.931,4.247,0.911,1.683,3.459,1.886,1.619,2.621,8.728925653727593,0.5128381656286626,Good
C(COC1=CC=CC=C1)OC1=CC=CC=C1,Training,23.4,46.054549320343355,-4.17,1.111,12,1.358,0.235,1.032,5.133,4.95,3.439,1.288,3.553,1.267,3.542,6.075,1.129,3.829,4.186,1.88,3.449,0.851,1.267,3.7,3.05,3.446,11.87,-22.654549320343357,-1.3309905453974809,Good
O=C(CC1=CC=CC=C1)C1=CC=CC=C1,Training,63.1,68.7948030412141,-3.92,1.1,13,1.381,0.24,1.035,5.335,4.939,3.554,1.324,3.66,1.315,3.653,7.59,0.895,3.905,3.776,1.951,3.7,0.916,1.451,3.807,3.583,3.269,10.69,-5.694803041214094,-0.3345786710905931,Good
I.I.NCCN,Training,13.4,9.717151790059075,0.97,1.187,0,1.0,0.473,0.696,3.422,3.221,2.481,1.075,2.643,1.02,2.611,5.202,1.946,3.347,2.217,1.547,1.414,0.523,0.446,0.0,-1.053,-1.477,2.18,3.682848209940925,0.2163731477617015,Good
CCCCOC(O)CC,Training,10.2,9.785030716038179,-0.65,1.15,0,1.0,0.3,0.853,4.125,4.097,2.787,1.152,2.982,1.113,2.927,6.503,1.787,3.542,3.923,1.695,2.346,0.636,0.761,0.0,1.466,1.653,2.733,0.4149692839618204,0.02438010069295761,Good
CC(O)CO,Training,-6.8,4.076445105838361,1.1,1.16,0,1.0,0.423,0.752,3.953,3.552,2.608,1.1,2.916,1.044,2.875,6.985,1.735,3.426,2.924,1.583,2.17,0.6,0.614,0.0,-0.534,-0.52,0.27,-10.87644510583836,-0.6390083244960422,Good
O=C1NC(=O)C2CC=CCC12,Training,5.3,6.452478865590224,-0.69,1.129,3,1.122,0.268,1.057,5.057,4.604,3.378,1.257,3.565,1.216,3.535,8.158,1.208,3.86,3.876,1.866,3.471,0.88,1.23,2.0,0.628,0.229,0.052,-1.1524788655902238,-0.06770995318337912,Good
ClC1=CC(Cl)=C(Cl)C=C1,Training,7.5,21.155615384287245,-3.83,1.09,6,1.284,0.307,0.958,5.682,5.045,3.403,1.347,3.707,1.389,3.721,6.047,0.895,3.846,3.876,1.858,3.857,1.251,2.265,2.807,4.063,3.823,14.62,-13.655615384287245,-0.8022889668235182,Good
CC1=CC(C)=C(C)C=C1,Training,17.8,23.092815378152025,-3.15,1.119,6,1.284,0.293,0.966,5.39,4.365,3.372,1.321,3.698,1.321,3.698,5.214,1.111,3.896,3.53,1.953,3.857,0.782,1.464,2.807,3.259,3.289,10.81,-5.292815378152024,-0.3109612611242167,Good
ClC1=CC(Cl)=C(Cl)C=C1Cl,Training,1.5,20.05867453437334,-4.66,1.085,6,1.273,0.283,0.966,5.803,5.245,3.393,1.347,3.769,1.399,3.786,6.247,0.896,3.861,4.414,1.851,4.018,1.388,2.775,2.807,4.634,4.488,20.14,-18.55867453437334,-1.0903514341015161,Good
CC1=CC(C)=C(C)C=C1C,Training,14.1,21.00497062191777,-3.65,1.121,6,1.273,0.278,0.971,5.511,4.469,3.357,1.315,3.759,1.315,3.759,5.287,1.15,3.922,3.667,1.973,4.018,0.773,1.569,2.807,3.562,3.775,14.25,-6.904970621917771,-0.40567792738066366,Good
ClC(=O)C1=CC(=CC=C1)C(Cl)=O,Training,36.8,53.61924387651737,-3.44,1.097,8,1.302,0.249,0.97,5.639,5.11,3.406,1.31,3.72,1.307,3.714,8.223,0.923,3.882,4.481,1.914,3.869,1.135,2.041,3.17,2.024,2.243,5.029,-16.819243876517376,-0.9881571362921208,Good
CC(O)CCO,Training,-5.8,4.138850605837716,0.92,1.156,0,1.0,0.378,0.79,4.007,3.715,2.675,1.145,2.959,1.088,2.93,6.995,1.668,3.51,3.405,1.661,2.214,0.622,0.694,0.0,-0.081,-0.458,0.209,-9.938850605837715,-0.5839231671057373,Good
C1C=CC=C1,Training,10.9,18.573970163606194,-1.4,1.113,2,1.201,0.389,0.949,4.344,3.735,3.333,1.362,3.345,1.362,3.345,4.651,1.0,3.753,1.848,1.495,2.681,0.801,0.607,1.585,1.582,1.392,1.937,-7.673970163606194,-0.45085786474905687,Good
Cl.ClC1=CC2=C(CN3CCCCCC3=N2)C(Cl)=C1,Training,8.2,22.437859674045225,-3.9,1.122,7,1.253,0.215,1.091,5.804,5.287,3.462,1.299,3.805,1.306,3.802,6.204,1.373,3.934,4.084,1.943,4.141,0.936,1.531,3.0,4.162,4.191,17.57,-14.237859674045225,-0.8364967382437885,Good
ClC1=CC(Cl)=CC=C1,Training,6.5,6.160830753505669,-3.06,1.094,6,1.298,0.306,0.963,5.517,4.796,3.415,1.346,3.632,1.377,3.643,5.797,0.899,3.831,3.325,1.864,3.621,1.114,1.755,2.807,3.478,3.159,9.978,0.3391692464943308,0.019926728799154057,Good
[O-][N+](=O)C1=CC(=CC=C1)[N+]([O-])=O,Training,11.1,48.9360130447656,-3.06,1.141,10,1.35,0.252,0.97,5.636,4.93,3.441,1.279,3.73,1.204,3.691,8.895,0.86,3.887,6.999,1.929,4.088,0.912,1.657,3.459,1.886,1.619,2.621,-37.8360130447656,-2.2229255116056095,Bad
O=C(CC(=O)C1=CC=CC=C1)C1=CC=CC=C1,Training,71.3,77.71013541062065,-4.1,1.1,14,1.356,0.224,1.031,5.375,5.086,3.536,1.314,3.675,1.298,3.664,8.206,0.902,3.898,4.713,1.937,3.735,0.935,1.522,3.907,3.148,3.155,9.953,-6.410135410620654,-0.37660557734389655,Good
CCN1CN(CC)CN(CC)C1,Training,0.2,4.041246127913337,0.29,1.159,0,1.0,0.0,0.0,4.612,4.433,2.998,1.183,3.199,1.164,3.143,5.14,2.453,3.652,3.759,1.78,2.814,0.631,1.014,0.0,1.7,1.409,1.986,-3.8412461279133367,-0.2256792755619402,Good
CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,Training,-31.8,-20.376564223417212,-5.84,1.128,6,1.229,0.0,0.0,5.476,4.79,3.272,1.275,3.743,1.275,3.743,5.554,1.267,3.953,3.952,2.0,3.925,0.748,1.269,2.807,4.926,5.413,29.3,-11.423435776582789,-0.6711448901317882,Good
C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C,Training,99.7,89.88686374789349,-4.56,1.107,4,1.057,0.0,0.0,5.427,5.631,3.383,1.36,3.986,1.507,4.676,6.423,1.709,4.091,4.649,1.844,3.676,1.343,2.428,2.322,0.111,6.614,43.74,9.813136252106517,0.5765372503138847,Good
NC1=CC=C(N)C=C1,Training,108.1,60.35536945529065,-0.15,1.14,6,1.297,0.312,0.96,5.239,4.274,3.332,1.269,3.607,1.242,3.6,5.741,0.867,3.825,3.674,1.885,3.589,0.784,1.235,2.807,0.893,0.337,0.113,47.744630544709345,2.805072436000275,Bad
OC(=O)C1CCC(CC1)C(O)=O,Training,20.8,17.201722522069435,-0.76,1.139,2,1.054,0.257,0.968,4.875,4.623,3.119,1.195,3.39,1.128,3.36,8.426,1.259,3.792,6.35,1.893,3.107,0.807,1.086,1.585,0.729,1.056,1.115,3.5982774779305657,0.21140448371407675,Good
NC1=CC=C(N)C2=C1C(=O)C1=CC=CC=C1C2=O,Training,69.5,75.06438786344324,-3.4,1.11,14,1.397,0.209,1.085,5.927,5.203,3.615,1.31,3.951,1.28,3.939,8.249,0.699,4.026,4.989,2.035,4.434,0.977,2.004,3.907,2.296,1.315,1.73,-5.564387863443244,-0.3269165734635412,Good
ClC1=CC=C(Cl)C=C1,Training,-12.7,1.0586642174898124,-3.03,1.094,6,1.297,0.326,0.952,5.498,4.796,3.415,1.34,3.627,1.372,3.638,5.797,0.899,3.83,3.674,1.864,3.589,1.114,1.755,2.807,3.478,3.159,9.978,-13.758664217489812,-0.8083432484941624,Good
